2025-11-26 13:30:32,298 - INFO - 使用麦克风: 麦克风 (Realtek(R) Audio)
2025-11-26 13:31:14,442 - INFO - 使用系统声音: 立体声混音 (Realtek(R) Audio)
2025-11-26 13:55:17,375 - INFO - 使用系统声音: 立体声混音 (Realtek(R) Audio)
2025-11-26 13:56:40,411 - INFO - 使用系统声音: 立体声混音 (Realtek(R) Audio)
2025-11-26 14:37:00,996 - INFO - 使用系统声音: 立体声混音 (Realtek(R) Audio)
2025-11-26 14:50:17,880 - INFO - 使用系统声音: 立体声混音 (Realtek(R) Audio)
2025-11-26 14:50:25,754 - INFO - [DEBUG] Result: 'WELL', is_endpoint: False
2025-11-26 14:50:25,832 - INFO - [DEBUG] Result: 'WELL', is_endpoint: False
2025-11-26 14:50:25,942 - INFO - [DEBUG] Result: 'WELL', is_endpoint: False
2025-11-26 14:50:26,043 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,121 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,222 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,331 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,453 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,541 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,611 - INFO - [DEBUG] Result: 'WELL GOT', is_endpoint: False
2025-11-26 14:50:26,742 - INFO - [DEBUG] Result: 'WELL GOT A TRE', is_endpoint: False
2025-11-26 14:50:26,821 - INFO - [DEBUG] Result: 'WELL GOT A TRE', is_endpoint: False
2025-11-26 14:50:26,931 - INFO - [DEBUG] Result: 'WELL GOT A TRE', is_endpoint: False
2025-11-26 14:50:27,053 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE', is_endpoint: False
2025-11-26 14:50:27,132 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE', is_endpoint: False
2025-11-26 14:50:27,241 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE', is_endpoint: False
2025-11-26 14:50:27,343 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE', is_endpoint: False
2025-11-26 14:50:27,422 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE', is_endpoint: False
2025-11-26 14:50:27,521 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE', is_endpoint: False
2025-11-26 14:50:27,656 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:27,731 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:27,842 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:27,912 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,044 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,120 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,231 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,354 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,431 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,541 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,641 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,721 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,821 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:28,953 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,031 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,142 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,233 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,321 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,421 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,531 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD', is_endpoint: False
2025-11-26 14:50:29,652 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD EL', is_endpoint: False
2025-11-26 14:50:29,731 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD EL', is_endpoint: False
2025-11-26 14:50:29,841 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD EL', is_endpoint: False
2025-11-26 14:50:29,944 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT', is_endpoint: False
2025-11-26 14:50:30,021 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT', is_endpoint: False
2025-11-26 14:50:30,121 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT', is_endpoint: False
2025-11-26 14:50:30,254 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT', is_endpoint: False
2025-11-26 14:50:30,331 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT', is_endpoint: False
2025-11-26 14:50:30,442 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT', is_endpoint: False
2025-11-26 14:50:30,534 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVER', is_endpoint: False
2025-11-26 14:50:30,621 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVER', is_endpoint: False
2025-11-26 14:50:30,721 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVER', is_endpoint: False
2025-11-26 14:50:30,854 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING', is_endpoint: False
2025-11-26 14:50:30,932 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING', is_endpoint: False
2025-11-26 14:50:31,031 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING', is_endpoint: False
2025-11-26 14:50:31,142 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING', is_endpoint: False
2025-11-26 14:50:31,242 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PAL', is_endpoint: False
2025-11-26 14:50:31,322 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PAL', is_endpoint: False
2025-11-26 14:50:31,421 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PAL', is_endpoint: False
2025-11-26 14:50:31,554 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUIT', is_endpoint: False
2025-11-26 14:50:31,631 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUIT', is_endpoint: False
2025-11-26 14:50:31,742 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUIT', is_endpoint: False
2025-11-26 14:50:31,833 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:31,921 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,021 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,153 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,232 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,332 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,463 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,522 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,622 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,721 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS', is_endpoint: False
2025-11-26 14:50:32,853 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINI', is_endpoint: False
2025-11-26 14:50:32,932 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINI', is_endpoint: False
2025-11-26 14:50:33,041 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINI', is_endpoint: False
2025-11-26 14:50:33,131 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK', is_endpoint: False
2025-11-26 14:50:33,222 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK', is_endpoint: False
2025-11-26 14:50:33,321 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK', is_endpoint: False
2025-11-26 14:50:33,452 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS', is_endpoint: False
2025-11-26 14:50:33,532 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS', is_endpoint: False
2025-11-26 14:50:33,632 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS', is_endpoint: False
2025-11-26 14:50:33,764 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS', is_endpoint: False
2025-11-26 14:50:33,821 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS', is_endpoint: False
2025-11-26 14:50:33,922 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS', is_endpoint: False
2025-11-26 14:50:34,042 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPH', is_endpoint: False
2025-11-26 14:50:34,131 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPH', is_endpoint: False
2025-11-26 14:50:34,233 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPH', is_endpoint: False
2025-11-26 14:50:34,342 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPH', is_endpoint: False
2025-11-26 14:50:34,432 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAM', is_endpoint: False
2025-11-26 14:50:34,521 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAM', is_endpoint: False
2025-11-26 14:50:34,621 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAM', is_endpoint: False
2025-11-26 14:50:34,754 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAMAGE', is_endpoint: False
2025-11-26 14:50:34,832 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAMAGE', is_endpoint: False
2025-11-26 14:50:34,931 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAMAGE', is_endpoint: False
2025-11-26 14:50:35,063 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAMAGE', is_endpoint: False
2025-11-26 14:50:35,122 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAMAGE', is_endpoint: False
2025-11-26 14:50:35,221 - INFO - [DEBUG] Result: 'WELL GOT A TREE IN THE MIDDLE OF ROAD ELDENT PUSH IT OVERLOOKING FOR PALM FRUITS DOMINIQUE YOU THINK THIS IS ELEPHANT DAMAGE', is_endpoint: False
